Company,Area,Item,y2016,y2017,y2018,y2019
AMERICAN MIDSTREAM LA INTRASTATE LLC,Louisiana,Industrial Volume,1592201,2712152,1603845,1637271
AMERICAN MIDSTREAM ONSHORE PPL LLC,Louisiana,Industrial Volume,,,,4483
AMERICAN MIDSTREAM SIGCO INTRASTATE,Louisiana,Industrial Volume,1864183,2998714,3010400,3471816
AMERICAN MIDSTREAM SIGCO INTRASTATE,Louisiana,Electric Power Volume,519,2038,3558,4722
AMERICAN MIDSTREAM TENNESSEE RIVER,Alabama,Industrial Volume,3745380,5331033,5329672,5964002
AMERICUS CITY OF,Georgia,Residential Volume,47607,46121,53901,58899
AMERICUS CITY OF,Georgia,Commercial Volume,114294,110890,122973,104285
AMERICUS CITY OF,Georgia,Industrial Volume,73774,73169,66462,69461
ANDERSONVILLE CITY OF,Georgia,Residential Volume,1286,1352,1607,1382
ANDERSONVILLE CITY OF,Georgia,Commercial Volume,157,195,1805,118
ANDERSONVILLE CITY OF,Georgia,Industrial Volume,1373478,1678880,1861072,1819916
ANDREASSI GAS CO,Pennsylvania,Residential Volume,26140,25952,31859,29037
ANDREASSI GAS CO,Pennsylvania,Commercial Volume,7101,6358,8397,7521
ANNA CITY OF,Illinois,Residential Volume,85428,77488,102186,96576
ANNA CITY OF,Illinois,Commercial Volume,55947,50665,65173,62810
ANNA CITY OF,Illinois,Industrial Volume,63386,70992,25748,45907
ANR PIPELINE COMPANY,Illinois,Electric Power Volume,62748188,57430427,55864343,58610385
ANR PIPELINE COMPANY,Indiana,Electric Power Volume,1689861,2225750,4340886,2836538
ANR PIPELINE COMPANY,Iowa,Industrial Volume,2070748,22859056,29128079,29309069
ANR PIPELINE COMPANY,Kentucky,Industrial Volume,1501765,1878564,2231522,2519571
ANR PIPELINE COMPANY,Louisiana,Industrial Volume,16014,3270,8058,8395
ANR PIPELINE COMPANY,Louisiana,Electric Power Volume,9642546,139976,125279,810
ANR PIPELINE COMPANY,Michigan,Electric Power Volume,69407456,66358914,69255026,78165367
ANR PIPELINE COMPANY,Mississippi,Industrial Volume,217425,195154,235268,251663
ANR PIPELINE COMPANY,Mississippi,Electric Power Volume,,1542559,81336,
ANR PIPELINE COMPANY,Missouri,Industrial Volume,953303,968957,1042552,998236
ANR PIPELINE COMPANY,Missouri,Electric Power Volume,19968,13103,132834,114363
ANR PIPELINE COMPANY,Ohio,Industrial Volume,2545352,,,61576
ANR PIPELINE COMPANY,Ohio,Electric Power Volume,1064318,19060232,22453603,18151805
ANR PIPELINE COMPANY,Oklahoma,Industrial Volume,446178,377971,414796,398517
ANR PIPELINE COMPANY,Tennessee,Electric Power Volume,10156195,6558201,11872751,10132793
ANR PIPELINE COMPANY,Wisconsin,Industrial Volume,611139,587906,557943,573971
ANR PIPELINE COMPANY,Wisconsin,Electric Power Volume,90039052,79410417,98208021,110246392
APPALACHIAN NATURAL GAS,Virginia,Residential Volume,70540,70107,90794,75780
APPALACHIAN NATURAL GAS,Virginia,Commercial Volume,490035,467353,495663,467408
APPALACHIAN NATURAL GAS,Virginia,Industrial Volume,,163107,652380,633218
APPALACHIAN NATURAL GAS,Virginia,Electric Power Volume,63359,,,
APPLEBY NATURAL GAS,Texas,Residential Volume,49476,54632,72733,76737
ARCHER DANIELS MIDLAND CO,Minnesota,Residential Volume,619,627,795,811
ARCHER DANIELS MIDLAND CO,Minnesota,Industrial Volume,3486758,3586150,3520608,3459368
ARGONIA CITY OF,Kansas,Residential Volume,11248,10876,14256,14422
ARGONIA CITY OF,Kansas,Commercial Volume,1314,1326,1723,4225
ARGONIA CITY OF,Kansas,Industrial Volume,261,162,453,524
ARGYLE CITY OF,Minnesota,Residential Volume,28562,17808,20993,16944
ARGYLE CITY OF,Minnesota,Commercial Volume,6869,7963,8858,15572
ARGYLE CITY OF,Minnesota,Industrial Volume,723,7767,6882,32664
ARKANSAS OKLAHOMA GAS CORPORATION,Arkansas,Residential Volume,1990891,1842407,2512078,2429611
ARKANSAS OKLAHOMA GAS CORPORATION,Arkansas,Commercial Volume,1508920,1480954,1966119,2013703
ARKANSAS OKLAHOMA GAS CORPORATION,Arkansas,Industrial Volume,3132959,3062961,3206465,3073302
ARKANSAS OKLAHOMA GAS CORPORATION,Arkansas,Vehicle Fuel Volume,30967,29374,31049,23646
ARKANSAS OKLAHOMA GAS CORPORATION,Oklahoma,Residential Volume,425952,405924,550812,526037
ARKANSAS OKLAHOMA GAS CORPORATION,Oklahoma,Commercial Volume,557188,530362,694539,735324
ARKANSAS OKLAHOMA GAS CORPORATION,Oklahoma,Industrial Volume,382017,366036,377066,828257
ARKANSAS OKLAHOMA GAS CORPORATION,Oklahoma,Vehicle Fuel Volume,12511,11305,13410,12249
ARLINGTON CITY OF,Kentucky,Residential Volume,14460,13780,17583,16881
ARLINGTON CITY OF,Kentucky,Industrial Volume,7552,10748,12809,10018
ARLINGTON ENERGY GROUP LLC,Mississippi,Industrial Volume,,276966,252118,284277
ARLINGTON NAT GAS CO,Ohio,Residential Volume,118118,117496,140346,137317
ARLINGTON NAT GAS CO,Ohio,Commercial Volume,43652,46620,56073,55083
ARNAUDVILLE TOWN OF,Louisiana,Residential Volume,11974,9807,13285,12273
ARNAUDVILLE TOWN OF,Louisiana,Commercial Volume,6233,5291,5408,4850
ARNAUDVILLE TOWN OF,Louisiana,Industrial Volume,,,,12
ASHBURN NAT GAS SYS,Georgia,Residential Volume,11874,10377,13864,10761
ASHBURN NAT GAS SYS,Georgia,Commercial Volume,15128,15025,15744,17864
ASHBURN NAT GAS SYS,Georgia,Industrial Volume,2072,4205,14288,20941
ASHLAND TOWN OF,Mississippi,Residential Volume,37382,34204,27761,28995
ASHLAND TOWN OF,Mississippi,Commercial Volume,5790,5302,19852,17297
ASHLAND TOWN OF,Mississippi,Industrial Volume,,,,18
ATHENS GAS DEPT CITY OF,Alabama,Residential Volume,194726,196662,261811,262982
ATHENS GAS DEPT CITY OF,Alabama,Commercial Volume,293348,326876,413916,423587
ATHENS GAS DEPT CITY OF,Alabama,Industrial Volume,700577,765463,780815,888808
ATHENS GAS DEPT CITY OF,Alabama,Vehicle Fuel Volume,7724,7824,6104,2058
ATHENS UTIL BD,Tennessee,Residential Volume,189048,181969,249410,217771
ATHENS UTIL BD,Tennessee,Commercial Volume,172203,173148,222421,204911
ATHENS UTIL BD,Tennessee,Industrial Volume,311511,303443,328162,356166
ATHENS UTIL BD,Tennessee,Vehicle Fuel Volume,3444,2636,2465,2367
ATLANTA GAS LT CO,Georgia,Residential Volume,101788589,97695597,115775542,107253281
ATLANTA GAS LT CO,Georgia,Commercial Volume,40349912,38536120,44295833,41734328
ATLANTA GAS LT CO,Georgia,Industrial Volume,58916493,59093583,62075643,61330058
ATLANTA GAS LT CO,Georgia,Electric Power Volume,1019,,,
ATLANTA GAS LT CO,Georgia,Vehicle Fuel Volume,1549372,1688137,1704766,1462569
ATMOS ENERGY CORPORATION,Colorado,Residential Volume,7302174,7238677,7654261,8439867
ATMOS ENERGY CORPORATION,Colorado,Commercial Volume,4620190,4706061,4943954,5384241
ATMOS ENERGY CORPORATION,Colorado,Industrial Volume,5207877,5192391,5226080,5826952
ATMOS ENERGY CORPORATION,Colorado,Electric Power Volume,,,192000,242636
ATMOS ENERGY CORPORATION,Kansas,Residential Volume,8262515,8921512,10904748,10765409
ATMOS ENERGY CORPORATION,Kansas,Commercial Volume,2662783,2988909,3682557,3695215
ATMOS ENERGY CORPORATION,Kansas,Industrial Volume,12337089,12044913,5776393,6594049
ATMOS ENERGY CORPORATION,Kentucky,Residential Volume,9093805,8723724,10416025,9886885
ATMOS ENERGY CORPORATION,Kentucky,Commercial Volume,5453724,5433692,6340615,6050140
ATMOS ENERGY CORPORATION,Kentucky,Industrial Volume,30664060,29780987,32420932,34131806
ATMOS ENERGY CORPORATION,Louisiana,Residential Volume,11375404,10727706,13380737,12697021
ATMOS ENERGY CORPORATION,Louisiana,Commercial Volume,7263409,7098505,7775325,7712852
ATMOS ENERGY CORPORATION,Louisiana,Industrial Volume,16337113,18403166,21399788,16536500
ATMOS ENERGY CORPORATION,Louisiana,Electric Power Volume,597995,,,
ATMOS ENERGY CORPORATION,Mississippi,Residential Volume,11507764,10446359,13836350,13070120
ATMOS ENERGY CORPORATION,Mississippi,Commercial Volume,8686521,8458443,9594801,9350714
ATMOS ENERGY CORPORATION,Mississippi,Industrial Volume,12809941,14417320,15366351,14903599
ATMOS ENERGY CORPORATION,Tennessee,Residential Volume,6585872,6659928,8308539,7682195
ATMOS ENERGY CORPORATION,Tennessee,Commercial Volume,4825726,4864649,5732124,5949091
ATMOS ENERGY CORPORATION,Tennessee,Industrial Volume,10577351,12029047,13211857,13355756
ATMOS ENERGY CORPORATION,Texas,Residential Volume,82569557,79913150,106942195,108954377
ATMOS ENERGY CORPORATION,Texas,Commercial Volume,59894728,59801576,70845876,72577458
ATMOS ENERGY CORPORATION,Texas,Industrial Volume,117213457,117902505,133902311,134704470
ATMOS ENERGY CORPORATION,Texas,Electric Power Volume,40160366,27231992,58141391,66914278
ATMOS ENERGY CORPORATION,Virginia,Residential Volume,1035218,1007899,1193423,1091353
ATMOS ENERGY CORPORATION,Virginia,Commercial Volume,1851932,1823469,2064754,1891003
ATMOS ENERGY CORPORATION,Virginia,Industrial Volume,4650605,6062863,7810949,7536910
ATTICA CITY OF,Kansas,Residential Volume,14599,8365,,
ATTICA CITY OF,Kansas,Commercial Volume,9914,5162,,
AUBURN CITY OF,Illinois,Residential Volume,97574,95177,117742,116094
AUBURN CITY OF,Illinois,Commercial Volume,19530,16604,22009,22370
AUBURN CITY OF,Illinois,Industrial Volume,899,682,569,621
AUBURN CITY OF,Kansas,Residential Volume,59521,55637,74512,74371
AUBURN CITY OF,Kansas,Commercial Volume,18716,17832,24951,25482
AUGUSTA CITY OF,Kentucky,Residential Volume,25877,25569,30017,29499
AUGUSTA CITY OF,Kentucky,Commercial Volume,7250,6968,9263,10084
AUGUSTA CITY OF,Kentucky,Industrial Volume,7055,9550,8341,9483
AUGUSTA LT WTR GAS,Arkansas,Residential Volume,41906,40412,52174,50088
AURORA GAS COMPANY,Michigan,Residential Volume,172900,177203,120069,
AURORA GAS COMPANY,Michigan,Commercial Volume,74528,68459,45321,
AURORA UTIL SYS,Indiana,Residential Volume,82101,85284,116731,104519
AURORA UTIL SYS,Indiana,Commercial Volume,51683,54937,75703,79274
AURORA UTIL SYS,Indiana,Industrial Volume,56705,43731,44969,43277
AUSTELL NAT GAS SYS,Georgia,Residential Volume,2921163,2804631,3630923,3340751
AUSTELL NAT GAS SYS,Georgia,Commercial Volume,800697,760764,1017194,969078
AUSTELL NAT GAS SYS,Georgia,Industrial Volume,1730384,1819102,1927449,1958201
AUSTELL NAT GAS SYS,Georgia,Vehicle Fuel Volume,1889,,,
AUSTIN UTIL,Minnesota,Residential Volume,700242,764163,861886,844814
AUSTIN UTIL,Minnesota,Commercial Volume,612698,636849,691628,702456
AUSTIN UTIL,Minnesota,Industrial Volume,917779,916031,876474,959301
AVANT UTILITIES AUTH,Oklahoma,Residential Volume,3255,1810,3206,2396
AVANT UTILITIES AUTH,Oklahoma,Commercial Volume,,1018,,1597
AVISTA UTILITIES,Idaho,Residential Volume,4393524,5161080,4949301,5433347
AVISTA UTILITIES,Idaho,Commercial Volume,2651239,3212374,3005582,3264007
AVISTA UTILITIES,Idaho,Industrial Volume,5477857,5468648,4562803,5989035
AVISTA UTILITIES,Idaho,Vehicle Fuel Volume,593,,,0
AVISTA UTILITIES,Oregon,Residential Volume,4287416,4998003,4579960,5113332
AVISTA UTILITIES,Oregon,Commercial Volume,3372628,3835916,3698143,4110627
AVISTA UTILITIES,Oregon,Industrial Volume,4070306,4189176,4076472,3829637
AVISTA UTILITIES,Oregon,Vehicle Fuel Volume,204,,,166
AVISTA UTILITIES,Washington,Residential Volume,9317281,11159838,10403975,11559622
AVISTA UTILITIES,Washington,Commercial Volume,7990462,9299195,8771038,9787834
AVISTA UTILITIES,Washington,Industrial Volume,5571552,5872628,5821212,5854657
AVISTA UTILITIES,Washington,Electric Power Volume,202957,298094,517809,756345
AVISTA UTILITIES,Washington,Vehicle Fuel Volume,1211,,,0
B AND H GAS CO INC,Kentucky,Residential Volume,11694,10569,13262,11432
B AND H GAS CO INC,Kentucky,Commercial Volume,2526,3259,3716,3978
BAGLEY PUBLIC UTILITIES,Minnesota,Residential Volume,22155,27947,33207,36551
BAGLEY PUBLIC UTILITIES,Minnesota,Commercial Volume,43154,44243,51018,54124
BAINBRIDGE CITY OF,Georgia,Residential Volume,11691,9990,12850,11160
BAINBRIDGE CITY OF,Georgia,Commercial Volume,54045,52907,53541,50856
BAINBRIDGE CITY OF,Georgia,Industrial Volume,161162,150653,166591,175577
BAINBRIDGE MUNICIPAL GAS UTILITY,Indiana,Residential Volume,16469,16437,18900,18025
BAINBRIDGE MUNICIPAL GAS UTILITY,Indiana,Commercial Volume,4742,5399,5355,5604
BAKER CITY OF,Louisiana,Residential Volume,110200,109148,112201,107454
BAKER CITY OF,Louisiana,Commercial Volume,22506,17693,24567,31055
BALCONES STARR P L,Texas,Electric Power Volume,176963,20115,,
BALDWIN TOWN OF,Louisiana,Residential Volume,,,155272,152167
BALDWIN TOWN OF,Louisiana,Commercial Volume,,,20184,19780
BALDWYN MUN GAS SYS,Mississippi,Residential Volume,59035,51406,68533,60255
BALDWYN MUN GAS SYS,Mississippi,Commercial Volume,33419,28614,31710,28600
BALDWYN MUN GAS SYS,Mississippi,Industrial Volume,111675,91255,95722,109512
BAMBERG BD OF PUB WORKS,South Carolina,Residential Volume,32551,28477,35628,31402
BAMBERG BD OF PUB WORKS,South Carolina,Commercial Volume,18588,26280,28477,38272
BAMBERG BD OF PUB WORKS,South Carolina,Industrial Volume,100382,84371,81276,64231
BANGOR GAS COMPANY LLC,Maine,Residential Volume,663559,681030,752309,775250
BANGOR GAS COMPANY LLC,Maine,Commercial Volume,2248338,2227135,2262844,2390461
BANGOR GAS COMPANY LLC,Maine,Industrial Volume,371325,294192,398852,948230
BANGOR GAS COMPANY LLC,Maine,Vehicle Fuel Volume,118,,,
BARDWELL NAT GAS,Kentucky,Residential Volume,24671,25855,28949,29319
BARDWELL NAT GAS,Kentucky,Commercial Volume,9012,9851,10669,12151
BARDWELL NAT GAS,Kentucky,Industrial Volume,598,636,724,460
BARLOW MUN GAS CO,Kentucky,Residential Volume,11258,11888,15286,14310
BARLOW MUN GAS CO,Kentucky,Industrial Volume,9757,9244,11078,11860
BARROW UTILITIES ELECTRIC COOP,Alaska,Residential Volume,223705,220616,217714,211904
BARROW UTILITIES ELECTRIC COOP,Alaska,Commercial Volume,436382,506636,505096,442734
BARROW UTILITIES ELECTRIC COOP,Alaska,Electric Power Volume,755608,769734,758081,747254
BARROW UTILITIES ELECTRIC COOP,Alaska,Vehicle Fuel Volume,4635,4683,4718,
BASILE TOWN OF,Louisiana,Residential Volume,4553,3507,5134,4897
BASILE TOWN OF,Louisiana,Commercial Volume,4666,5460,5170,3937
BASILE TOWN OF,Louisiana,Industrial Volume,,,,728
BATESVILLE CITY OF,Mississippi,Residential Volume,57821,51468,68836,65184
BATESVILLE CITY OF,Mississippi,Commercial Volume,97251,90863,120624,117686
BATESVILLE CITY OF,Mississippi,Industrial Volume,174918,174369,206865,200270
BATESVILLE GAS UTILITY,Indiana,Residential Volume,147254,153755,188550,179784
BATESVILLE GAS UTILITY,Indiana,Commercial Volume,157136,164643,198364,198542
BATESVILLE GAS UTILITY,Indiana,Industrial Volume,167606,164523,190656,201274
BATH ELECTRIC GAS AND WATER SYSTEMS,New York,Residential Volume,137376,138904,160845,159714
BATH ELECTRIC GAS AND WATER SYSTEMS,New York,Commercial Volume,112549,201682,221645,213998
BATH ELECTRIC GAS AND WATER SYSTEMS,New York,Industrial Volume,121511,39206,39292,25870
BATON ROUGE RENEWABLE ENERGY LLC,Louisiana,Industrial Volume,436983,726963,427325,503378
BAY CITY GAS CO,Texas,Residential Volume,92932,85544,111018,109263
BAY CITY GAS CO,Texas,Commercial Volume,95418,97588,103971,105084
BAY CITY GAS CO,Texas,Industrial Volume,14919,640952,963854,1166590
BAY CITY GAS CO,Texas,Electric Power Volume,,,3724,3540
BAY GAS STORAGE,Alabama,Industrial Volume,12981040,13929998,13879334,13671768
BAY GAS STORAGE,Alabama,Electric Power Volume,62021096,60174494,62140229,73879888
BAY SPRINGS CITY OF,Mississippi,Residential Volume,29582,27438,34044,30943
BAY SPRINGS CITY OF,Mississippi,Commercial Volume,12206,11210,11383,13856
BAY SPRINGS CITY OF,Mississippi,Industrial Volume,222181,215725,177660,249828
BAY ST LOUIS CITY OF,Mississippi,Residential Volume,19166,13912,15095,13104
BAY ST LOUIS CITY OF,Mississippi,Commercial Volume,51097,49777,53674,55050
BBT ALATENN LLC,Alabama,Industrial Volume,6158887,7280439,11305265,11989174
